round,player,team,score
20,1,Dean Cox,190
20,2,Patrick Dangerfield,187
20,3,Trent Cotchin,175
20,4,Matthew Wright,170
20,4,Dayne Beams,170
20,6,Josh Kennedy Injured,168
20,7,Jobe Watson,154
20,8,Nicholas Naitanui,153
20,9,Jack Riewoldt,140
20,9,Steve Johnson,140
20,11,Paul Puopolo,136
20,12,Paul Duffield,134
20,12,Grant Birchall,134
20,14,Jake King,133
20,14,Luke Shuey,133
20,16,Bryce Gibbs,132
20,17,Jack Redden,131
20,18,Tom Bellchambers,130
20,19,Travis Boak,128
20,20,Gary Ablett,126
20,20,Samuel Wright,126
20,22,Dustin Martin,125
20,23,Jimmy Bartel,123
20,24,Will Hoskin-Elliott,122
20,25,Ryan O'Keefe,121
20,25,Daniel Kerr,121
20,25,Beau Maister,121
20,25,Matthew De Boer,121
20,29,Heath Scotland,119
20,29,Liam Anthony,119
20,31,Brent Harvey,118
20,31,Brad Sewell,118
20,33,Marc Murphy,117
20,33,Shane Edwards,117
20,33,David Hale,117
20,36,Brett Deledio,116
20,36,Scott Pendlebury,116
20,36,Shane Mumford,116
20,39,Andrew Carrazzo,115
20,39,Sam Gibson,115
20,39,Taylor Walker,115
20,39,Sam Blease,115
20,39,Adam Treloar,115
20,44,Jordan Lewis,114
20,44,Tom Lynch,114
20,44,Sam Mitchell,114
20,44,Matthew Warnock,114
20,48,Leigh Montagna,113
20,48,Andrew Walker,113
20,50,Brandon Matera,112
20,51,Matthew Priddis,111
20,51,Scott McMahon,111
20,53,Matthew Kreuzer,110
20,54,Kieren Jack,108
20,54,Aaron Hall,108
20,56,Brad Ebert,107
20,56,Devon Smith,107
20,56,Tory Dickson,107
20,59,Shaun Grigg,106
20,59,Andrew Swallow,106
20,61,Rhyce Shaw,105
20,61,Chris Newman,105
20,63,Michael Barlow,104
20,63,Phil Davis,104
20,63,Nick Maxwell,104
20,66,Rohan Bewick,103
20,67,Mitchell Wallis,102
20,68,Ben McEvoy,101
20,68,Jack Grimes,101
20,68,Clinton Young,101
20,71,Brian Lake,100
20,71,Sharrod Wellingham,100
20,71,Jack Steven,100
20,74,James Podsiadly,99
20,74,Luke Breust,99
20,74,Joel Selwood,99
20,74,Sean Dempster,99
20,74,Andrew Mackie,99
20,74,Jeff Garlett,99
20,80,Justin Koschitzke,98
20,80,Alex Rance,98
20,80,Corey Enright,98
20,80,Steven Morris,98
20,84,Danny Stanley,97
20,84,Matthew Boyd,97
20,84,Courtenay Dempsey,97
20,87,Chad Cornes,96
20,87,Kyle Hardingham,96
20,87,Darren Jolly,96
20,87,Lachlan Hansen,96
20,87,Bernie Vince,96
20,87,Isaac Smith,96
20,93,Rory Sloane,95
20,93,Ben Reid,95
20,93,Jonathon Griffin,95
20,93,Kade Simpson,95
20,93,Joel Macdonald,95
20,93,Dennis Armfield,95
20,99,Scott Thompson,94
20,99,David MacKay,94
20,99,Colin Garland,94
20,99,Charlie Dixon,94
20,99,Allen Christensen,94
20,99,Ryan Schoenmakers,94
20,105,Andrew Gaff,93
20,105,Ryan Lester,93
20,105,Daniel Giansiracusa,93
20,105,Jason Gram,93
20,105,Jared Rivers,93
20,105,Orren Stephenson,93
20,111,Kyal Horsley,92
20,111,Sam Jacobs,92
20,111,Nick Dal Santo,92
20,111,Steele Sidebottom,92
20,111,Ivan Maric,92
20,111,Jarryd Blair,92
20,117,Heath Shaw,91
20,117,Joshua Green,91
20,117,Levi Casboult,91
20,117,Lynden Dunn,91
20,121,Bachar Houli,90
20,122,Matthew Pavlich,89
20,122,Jared Petrenko,89
20,124,Scott Selwood,88
20,124,Brodie Smith,88
20,124,Liam Picken,88
20,127,Todd Goldstein,87
20,127,Richard Douglas,87
20,129,Robert Murphy,86
20,129,Jackson Allen,86
20,129,Daniel Merrett,86
20,132,Anthony Miles,85
20,132,Drew Petrie,85
20,132,Adam Tomlinson,85
20,132,Lenny Hayes,85
20,132,Jarryn Geary,85
20,132,Travis Cloke,85
20,132,Chris Dawes,85
20,139,Joel Patfull,84
20,139,Luke Hodge,84
20,139,Clancee Pearce,84
20,142,Tom McDonald,83
20,142,Taylor Hunt,83
20,142,Jordan Lisle,83
20,142,Nathan Jones,83
20,146,Brock McLean,82
20,146,Nick Malceski,82
20,146,Michael Doughty,82
20,146,Jonathan Giles,82
20,146,Dyson Heppell,82
20,146,Michael Johnson,82
20,146,Ben Cunnington,82
20,146,Cruize Garlett,82
20,154,Scott Thompson,81
20,154,Ryan Bastinac,81
20,154,Matthew Bate,81
20,154,David Mundy,81
20,154,Nathan Lovett-Murray,81
20,154,Luke McGuane,81
20,154,James Sellar,81
20,154,Trent McKenzie,81
20,162,Brent Guerra,80
20,162,Jack Hombsch,80
20,162,Sam Fisher,80
20,162,Kane Cornes,80
20,166,Dustin Fletcher,79
20,166,Michael Firrito,79
20,166,Robbie Tarrant,79
20,166,David Armitage,79
20,170,Nick Smith,78
20,170,Justin Westhoff,78
20,170,Clay Smith,78
20,170,David Swallow,78
20,170,Alwyn Davey,78
20,170,Eddie Betts,78
20,176,Brendon Goddard,77
20,176,Quinten Lynch,77
20,176,Graham Johncock,77
20,176,Jonathan Brown,77
20,176,Travis Colyer,77
20,181,Jarrad Redden,76
20,181,Sam Gilbert,76
20,181,Paul Seedsman,76
20,181,Danyle Pearce,76
20,185,Lee Spurr,75
20,185,Liam Patrick,75
20,185,Daniel Talia,75
20,185,Ian Callinan,75
20,185,Jamie Cripps,75
20,185,Xavier Ellis,75
20,185,Michael Hurley,75
20,192,Shane Tuck,74
20,192,Matt Thomas,74
20,192,Max Bailey,74
20,192,Jay Schulz,74
20,192,Heritier Lumumba,74
20,192,Michael Talia,74
20,192,Jack Trengove,74
20,192,Tomas Bugg,74
20,200,Martin Clarke,73
20,200,Michael Walters,73
20,200,Alex Browne,73
20,200,Pearce Hanley,73
20,204,Hayden Ballantyne,72
20,204,Tom Scully,72
20,204,Paul Stewart,72
20,204,Matthew Broadbent,72
20,204,Shaun Burgoyne,72
20,204,Jarrad Waite,72
20,204,Josh Caddy,72
20,211,Craig Bird,71
20,211,James Gwilt,71
20,211,Stephen Wrigley,71
20,211,Dayne Zorko,71
20,211,Matthew Watson,71
20,211,Jed Adcock,71
20,211,Steve Clifton,71
20,211,Darren Glass,71
20,211,Alex Fasolo,71
20,220,Tom Bell,70
20,220,Shannon Hurn,70
20,220,Chris Masten,70
20,220,Adam Selwood,70
20,224,Patrick McGinnity,69
20,224,Jarrad Grant,69
20,226,Cameron Guthrie,68
20,226,Campbell Brown,68
20,226,Luke Power,68
20,226,Edward Curnow,68
20,226,Jarrod Harbrow,68
20,231,Brendan Whitecross,67
20,231,Taylor Hine,67
20,231,Ben Hudson,67
20,231,Jonathan Simpkin,67
20,231,Cyril Rioli,67
20,236,Ben Rutten,66
20,237,Daniel Jackson,65
20,237,Jack Gunston,65
20,237,Nathan Grima,65
20,237,Matt Campbell,65
20,237,Matt Shaw,65
20,237,Jarrad McVeigh,65
20,243,Heath Grundy,64
20,243,Christopher Yarran,64
20,243,Luke Parker,64
20,243,Jake Spencer,64
20,247,Andrew McInnes,63
20,247,Jackson Trengove,63
20,247,Tom Lonergan,63
20,247,Jeremy Cameron,63
20,247,Harley Bennell,63
20,247,Mitchell Duncan,63
20,247,Brendan Lee,63
20,247,Shaun Atley,63
20,247,Ted Richards,63
20,256,Mike Pyke,62
20,256,Stephen Gilham,62
20,256,Will Minson,62
20,256,Maverick Weller,62
20,256,Jeremy Howe,62
20,261,Neville Jetta,61
20,261,Stephen Hill,61
20,261,Mathew Stokes,61
20,261,Lewis Roberts-Thomson,61
20,261,Tom Rockliff,61
20,261,Lewis Jetta,61
20,261,Rohan Bail,61
20,261,Simon Black,61
20,261,Jacob Brennan,61
20,261,Brett Ebert,61
20,261,Michael Hibberd,61
20,272,Brent Reilly,60
20,272,Josh Hill,60
20,272,Domenic Cassisi,60
20,272,Alex Johnson,60
20,272,Matthew Buntine,60
20,277,Adam Kennedy,59
20,277,Harry Taylor,59
20,279,Elliot Yeo,58
20,279,Sam Lonergan,58
20,279,Tom Logan,58
20,279,Hamish Hartlett,58
20,279,Sam Shaw,58
20,279,Jake Carlisle,58
20,279,Ahmed Saad,58
20,286,Ben McGlynn,57
20,286,Sam Dunell,57
20,288,Jordie McKenzie,56
20,288,Lin Jong,56
20,290,Matthew White,55
20,290,Alan Didak,55
20,290,Matthew Lobbe,55
20,290,Ryan Harwood,55
20,290,Stewart Crameri,55
20,290,Nathan Van Berlo,55
20,290,Jordan Roughead,55
20,290,Nicholas Suban,55
20,290,Andrew Phillips,55
20,299,Matthew Scarlett,54
20,299,Jake Melksham,54
20,299,Zach Tuohy,54
20,302,Ryan Hargrave,53
20,302,David Wojcinski,53
20,302,David Rodan,53
20,302,Martin Mattner,53
20,302,James Strauss,53
20,302,Colin Sylvia,53
20,302,Stephen Milne,53
20,309,Eric MacKenzie,52
20,309,Jordan Murdoch,52
20,309,Tom Ledger,52
20,309,Luke Tapscott,52
20,313,Benjamin Stratton,51
20,313,Heath Hocking,51
20,313,Brent Moloney,51
20,316,Beau Waters,50
20,316,Ben Sinclair,50
20,316,Reece Conca,50
20,316,Zephaniah Skinner,50
20,320,Matthew Suckling,49
20,320,Adam Goodes,49
20,320,Jared Brennan,49
20,320,Robin Nahas,49
20,324,Josh Gibson,48
20,324,Mark Baguley,48
20,324,Jack Darling,48
20,324,Nathan Djerrkura,48
20,324,Steven Motlop,48
20,329,Josh Jenkins,47
20,329,Sam Darley,47
20,329,Kieran Harper,47
20,332,Jamie Elliott,46
20,332,Dylan Roberton,46
20,334,Lewis Johnston,44
20,334,Brad Green,44
20,334,Christopher Mayne,44
20,334,Daniel Rich,44
20,338,Jamie MacMillan,43
20,338,Dylan Addison,43
20,340,Curtly Hampton,42
20,340,Kepler Bradley,42
20,340,Jason Johannisen,42
20,340,Ashton Hams,42
20,344,Justin Sherman,40
20,344,Nick Riewoldt,40
20,344,Chris Tarrant,40
20,344,Andrew Hooper,40
20,348,Brandon Ellis,39
20,348,Simon White,39
20,348,Trent Dennis-Lane,39
20,348,Tendai Mzungu,39
20,352,Daniel Hannebery,38
20,353,Andrew Embley,37
20,353,Adam McPhee,37
20,355,Andrew Raines,36
20,355,Daniel Wells,36
20,355,Alan Toovey,36
20,358,James Polkinghorne,35
20,358,Darren Pfeiffer,35
20,360,Will Schofield,34
20,360,Shaun Edwards,34
20,362,Troy Chaplin,33
20,362,Garrick Ibbotson,33
20,362,Tom Simpkin,33
20,365,Mitch Robinson,32
20,365,Claye Beams,32
20,367,Ryan Crowley,31
20,368,Tim Golds,30
20,368,Lachie Neale,30
20,368,Nathan Brown,30
20,371,Andrew Moore,29
20,372,Nathan Blee,27
20,372,Benjamin Griffiths,27
20,374,Jackson Sheringham,26
20,374,Jeremy Taylor,26
20,376,Tom Campbell,25
20,377,Joshua Walker,24
20,377,Israel Folau,24
20,379,Dale Thomas,23
20,380,Todd Banfield,22
20,380,Leroy Jetta,22
20,380,Fletcher Roberts,22
20,383,Jayden Post,21
20,383,Scott Gumbleton,21
20,383,Tom Swift,21
20,386,Rhys O'Keeffe,18
20,387,Tony Armstrong,16
20,388,Bradley Helbig,15
20,388,Tom Hawkins,15
20,390,Aidan Riley,14
20,391,James Magner,13
20,392,John McCarthy,12
20,393,Leigh Adams,11
20,394,Zac Dawson,10
20,395,Angus Monfries,8
20,395,Steven May,8
